ObjType	UniqueId	Name	Description	XSigned	XLSBFirst	XOffsetInt	XOffsetHex	XSizeInBits	XAddrStep	XUnits	XOutputType	XEquation	XPrecision	XRangeLow	XRangeHigh	YSigned	YLSBFirst	YOffsetInt	YOffsetHex	YSizeInBits	YAddrStep	YUnits	YOutputType	YEquation	YPrecision	YRangeLow	YRangeHigh	ZSigned	ZLSBFirst	ZOffsetInt	ZOffsetHex	ZSizeInBits	ZUnits	ZOutputType	ZEquation	ZPrecision	ZRangeLow	ZRangeHigh	BitNumber	BitMask	RowCount	ColCount	IndexCount
		MPGCTL 	" Minimum ECT for Fuel Economy Mode, deg F. "																																								
		MPGGR 	 Minimum gear for Fuel Economy Mode. 																																								
		MPGNOV 	" Maximum NOV for Fuel Economy Mode, rpm/mph. "																																								
		MPGRPH 	" Hysteresis for MPGRPM, rpm. "																																								
		MPGRPM 	" Minimum RPM for Fuel Economy Mode, rpm. "																																								
		MPGRT 	" Minimum delay time to re-enter MPG mode once exited, sec. "																																								
		MPMNBP 	" Minimum BP for Fuel Economy Mode, in. Hg. "																																								
		MPNBPH 	" Hysteresis for MPMNBP, in. Hg. "																																								
		MPNOVH 	" Hysteresis term for MPGNOV, rpm/mph. "																																								
		NACTMR 	 Time at P.T. or WOT.																																								
		NDIF 	 Time dependent RPM limit to differentiate decel from idle.																																								
		O_8500_SW 	" Calibration switch to select vehicle speed or transmission gear for Fuel Economy Mode determination.  ""0"" selects vehicle speed; ""1"" selects transmission gear.  Set to ""1"" only for over 8500 GVW aplications with E4OD transmission. "																																								
		OLITD3 	" Time to go back to closed loop fuel control (see Closed Loop/ Open Loop Logic).  Closed loop from IDLTMR = 0 to OLITD1, open loop fuel from IDLTMR = OLITD1 to OLITD3, then back to closed loop fuel when IDLTMR reset to 0 at OLITD3.  Closed loop/Open loop feature can be calibrated out by setting OLITD3 to 255 sec."																																								
		RAMPSW 	" Ramp EGR on switch; 0 -> ramp on every EGR turn on, 1 -> ramp  first egr turn on only."																																								
		RPMDED 	 RPM deadband - C/L ISC.																																								
		SHFDLT 	 a calibration parameter giving TP change to infer M/T shift.																																								
		TEMPFB 	 Warm Engine Temperature																																								
		VOLHYS 	" Hysteresis term for LOWVOL, volts."																																								
		VOLTCLP 	 Maximum clip value to freeze VOLTMR at upper threshold.																																								
		VSMPG 	" Minimum vehicle speed value for MPG mode, mph. "																																								
		VSMPGH 	" Hysteresis for VSMPG, mph. "																																								
		VSTYPE 	 Must be set to 1 if Vehicle Speed Sensor is present. 																																								
		ACTFMM 	 FMEM default value for ACT.																																								
		ACTMAX 	" Maximum ACT (ACT Open), Counts."																																								
		ACTMIN 	" Minimum ACT (ACT Shorted), Counts."																																								
		C112LVL 	" Threshold for ACT short fault, unitless."																																								
		C113LVL 	" Threshold for ACT Open fault, unitless."																																								
		FILHYS 	 Hysteresis  term  to  prevent  spurious  exit  of  Failure  Mode strategy.																																								
		FN703 	 ECT/ACT transfer function.																																								
		C179LVL 	" At adaptive fuel limit, system lean fault filter threshold."																																								
		C181LVL 	" At adaptive fuel limit, system rich fault filter threshold."																																								
		C182LVL 	" At adaptive fuel  limit,  system  lean  at  idle  fault  filter threshold."																																								
		C183LVL 	" At adaptive fuel  limit,  system  rich  at  idle  fault  filter threshold."																																								
		C188LVL 	" At adaptive fuel limit  (EGO  #2),  system  lean  fault  filter threshold."																																								
		C189LVL 	" At adaptive fuel limit  (EGO  #2),  system  rich  fault  filter threshold."																																								
		C191LVL 	" At adaptive fuel limit (EGO #2),  system  lean  at  idle  fault filter threshold."																																								
		C192LVL 	" At adaptive fuel limit (EGO #2),  system  rich  at  idle  fault filter threshold."																																								
		FILHYS 	 Hysteresis  term  to  prevent  spurious  exit  of  Failure  Mode strategy.																																								
		C117LVL 	" Threshold for ECT Short Fault, unitless."																																								
		C118LVL 	" Threshold for ECT Open fault, unitless."																																								
		ECTFMM 	" FMEM default value for ECT, deg F."																																								
		ECTMAX 	" Maximum engine ECT, Counts."																																								
		ECTMIN 	" Minimum engine ECT, Counts."																																								
		FILHYS 	 Hysteresis term to prevent spurious exit of Failure Mode strategy.																																								
		FMECNT 	" Number of background loops between incrementing/decrementing ECT register by 2 deg.F. A good estimate of The ECT ramp is 2 deg.F/6 seconds,  therefore, FMECNT = 6 sec./.030 sec. per background loop = 200."																																								
		FN703 	 ECT/ACT transfer function.																																								
		TCECT 	" Time constant for ECT, sec."																																								
		C327LVL 	" Threshold for EVP fault, unitless."																																								
		C337LVL 	" Threshold for (PFE) EVP fault, unitless."																																								
		EVPMAX 	" Maximum EGR Valve position, counts."																																								
		EVPMIN 	" Minimum EGR Valve position, counts."																																								
		FN703D(ITOT) 	" TOT transfer function; purpose:  convert ITOT  A/D  counts into deg.  F, counts."																																								
		TCTOT 	" Time constant for filtered TOT, sec."																																								
		TOTMAX 	" Maximum allowable TOT counts, counts."																																								
		TOTMIN 	" Minimum allowable TOT counts, counts."																																								
		C122LVL 	 Throttle Position(TP)  sensor  circuit  below  minimum  voltage threshold.																																								
		C123LVL 	 Throttle Position(TP)  sensor  circuit  above  maximum  voltage threshold.																																								
		FN090 	 Change in TP as a function of MAP.  This function is designed  to permit Closed and Part Throttle operation.																																								
		TAPMAX 	" Maximum valid TP value, counts.  (Calibrated by Self Test Design Section)"																																								
		TAPMIN 	" Minimum valid TP value, counts.  (Calibrated by Self Test Design Section)"																																								
		TRLOAD 	 Transmission load switch:  See Base Strategy																																								
		VTCEPT 	 EPT Time constant.																																								
